%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82969.180,299.359,0.966,15.046,109.283,0.018,108.696,110.993,112.832,113.752,114.200,110.742,110.498,111.005,112.517,112.970,115.378,109.600,116.439,113.664,112.774,111.462,-11.000,-0.802,-0.437,-0.053,-90.196,215.549
82969.180,299.359,0.966,15.040,109.204,0.018,108.154,109.542,112.939,113.334,113.767,110.638,110.071,110.576,111.958,113.492,115.273,108.962,115.496,112.931,113.293,111.575,-11.000,-0.802,-0.427,-0.053,-90.196,215.560
82969.180,299.361,0.966,15.040,109.204,0.018,109.020,110.658,113.260,113.961,113.335,110.950,110.071,110.362,112.181,113.284,116.223,108.749,116.125,113.245,112.047,111.687,-11.000,-0.802,-0.447,-0.053,-90.212,215.539
82973.211,299.363,0.966,15.045,109.283,-0.142,108.587,110.658,112.618,113.961,113.767,110.014,109.429,110.898,111.175,112.970,115.378,109.387,116.125,113.559,112.878,110.785,-11.000,-0.802,-0.437,-0.052,-90.196,215.549
82969.180,299.366,0.966,15.040,109.204,-0.142,108.587,110.882,112.618,113.543,114.308,110.846,109.964,111.005,112.293,112.240,115.801,109.068,115.915,113.873,112.774,111.687,-11.000,-0.821,-0.427,-0.053,-90.212,215.549
82969.180,299.363,0.966,15.046,109.283,-0.142,108.804,110.993,113.260,113.125,114.308,110.742,110.498,110.898,112.293,113.179,115.378,109.600,115.915,112.931,112.255,111.462,-11.000,-0.763,-0.427,-0.052,-90.228,215.580
82973.211,299.361,0.966,15.040,109.204,-0.142,108.696,110.770,113.367,114.066,113.551,111.470,110.391,110.576,112.070,113.388,115.906,109.813,116.020,114.187,112.151,111.462,-11.000,-0.763,-0.417,-0.053,-90.196,215.549
82973.211,299.361,0.966,15.045,109.283,-0.302,108.696,110.658,112.618,113.752,113.875,110.950,109.857,110.469,111.287,112.970,115.695,109.813,116.229,114.187,112.982,110.672,-11.000,-0.821,-0.447,-0.052,-90.212,215.539
82969.180,299.363,0.966,15.035,109.125,-0.142,108.912,110.882,112.725,113.856,114.524,110.534,110.285,110.791,112.964,112.866,116.118,109.813,116.125,113.978,113.085,111.349,-11.000,-0.802,-0.447,-0.053,-90.196,215.539
82969.180,299.361,0.966,15.046,109.283,-0.142,108.804,110.882,113.474,113.543,114.524,110.846,110.712,111.005,112.293,113.492,115.695,110.345,116.229,113.245,113.708,111.800,-11.000,-0.783,-0.427,-0.053,-90.212,215.560
