%Time(s)	Speed(rpm)		
	%3/12/201511:57 AM
6.430	24.500
6.440	24.500
6.450	24.400
6.460	24.400
6.470	24.300
6.480	24.300
6.490	24.200
6.500	24.200
6.510	24.100
6.520	24.100
6.530	24.000
6.540	23.900
6.550	23.900
6.560	23.800
6.570	23.800
6.580	23.700
6.590	23.600
6.600	23.500
6.610	23.400
6.620	23.400
6.630	23.400
6.640	23.300
6.650	23.200
6.660	23.200
6.670	23.200
6.680	23.100
6.690	23.100
6.700	23.000
6.710	23.000
6.720	22.900
6.730	22.900
6.740	22.800
6.750	22.800
6.760	22.700
6.770	22.600
6.780	22.600
6.790	22.500
6.800	22.500
6.810	22.400
6.820	22.400
6.830	22.300
6.840	22.300
6.850	22.300
6.860	22.200
6.870	22.100
6.880	22.100
6.890	22.000
6.900	21.900
6.910	21.900
6.920	21.800
6.930	21.800
6.940	21.700
6.950	21.700
6.960	21.600
6.970	21.600
6.980	21.600
6.990	21.500
7.000	21.400
7.010	21.300
7.020	21.300
7.030	21.200
7.040	21.200
7.050	21.200
7.060	21.100
7.070	21.000
7.080	21.000
7.090	20.900
7.100	20.800
7.110	20.800
7.120	20.700
7.130	20.700
7.140	20.600
7.150	20.500
7.160	20.500
7.170	20.400
7.180	20.400
7.190	20.300
7.200	20.300
7.210	20.200
7.220	20.100
7.230	20.100
7.240	20.000
7.250	20.000
7.260	19.900
7.270	19.900
7.280	19.800
7.290	19.800
7.300	19.700
7.310	19.600
7.320	19.600
7.330	19.500
7.340	19.400
7.350	19.400
7.360	19.300
7.370	19.300
7.380	19.200
7.390	19.100
7.400	19.000
7.410	19.000
7.420	18.900
7.430	18.900
7.440	18.900
7.450	18.800
7.460	18.800
7.470	18.700
7.480	18.700
7.490	18.600
7.500	18.500
7.510	18.500
7.520	18.400
7.530	18.300
7.540	18.300
7.550	18.300
7.560	18.300
7.570	18.300
7.580	18.200
7.590	18.200
7.600	18.100
7.610	18.000
7.620	17.900
7.630	17.800
7.640	17.800
7.650	17.800
7.660	17.700
7.670	17.600
7.680	17.600
7.690	17.500
7.700	17.500
7.710	17.400
7.720	17.400
7.730	17.300
7.740	17.300
7.750	17.200
7.760	17.200
7.770	17.100
7.780	17.100
7.790	17.000
7.800	16.900
7.810	16.900
7.820	16.800
7.830	16.800
7.840	16.700
7.850	16.700
7.860	16.600
7.870	16.500
7.880	16.500
7.890	16.400
7.900	16.400
7.910	16.300
7.920	16.300
7.930	16.200
7.940	16.200
7.950	16.100
7.960	16.000
7.970	16.000
7.980	16.000
7.990	15.900
8.000	15.900
8.010	15.800
8.020	15.700
8.030	15.700
8.040	15.600
8.050	15.600
8.060	15.500
8.070	15.500
8.080	15.400
8.090	15.400
8.100	15.300
8.110	15.300
8.120	15.200
8.130	15.100
8.140	15.100
8.150	15.000
8.160	15.000
8.170	14.900
8.180	14.900
8.190	14.800
8.200	14.800
8.210	14.700
8.220	14.700
8.230	14.600
8.240	14.600
8.250	14.500
8.260	14.500
8.270	14.400
8.280	14.400
8.290	14.300
8.300	14.300
8.310	14.200
8.320	14.200
8.330	14.100
8.340	14.000
8.350	14.000
8.360	13.900
8.370	13.900
8.380	13.900
8.390	13.900
8.400	13.800
8.410	13.700
8.420	13.700
8.430	13.600
8.440	13.500
8.450	13.500
8.460	13.400
8.470	13.400
8.480	13.300
8.490	13.300
8.500	13.200
8.510	13.200
8.520	13.100
8.530	13.000
8.540	13.000
8.550	12.900
8.560	12.900
8.570	12.800
8.580	12.800
8.590	12.700
8.600	12.600
8.610	12.600
8.620	12.500
8.630	12.400
8.640	12.400
8.650	12.400
8.660	12.300
8.670	12.200
8.680	12.200
8.690	12.100
8.700	12.100
8.710	12.000
8.720	11.900
8.730	11.900
8.740	11.800
8.750	11.800
8.760	11.700
8.770	11.600
8.780	11.600
8.790	11.500
8.800	11.400
8.810	11.400
8.820	11.300
8.830	11.200
8.840	11.200
8.850	11.100
8.860	11.100
8.870	11.000
8.880	11.000
8.890	10.900
8.900	10.900
8.910	10.800
8.920	10.700
8.930	10.700
8.940	10.600
8.950	10.600
8.960	10.500
8.970	10.400
8.980	10.400
8.990	10.300
9.000	10.300
9.010	10.200
9.020	10.200
9.030	10.100
9.040	10.000
9.050	10.000
9.060	9.900
9.070	9.900
9.080	9.800
9.090	9.700
9.100	9.700
9.110	9.600
9.120	9.500
9.130	9.500
9.140	9.400
9.150	9.400
9.160	9.300
9.170	9.300
9.180	9.200
9.190	9.100
9.200	9.100
9.210	9.100
9.220	9.000
9.230	8.900
9.240	8.900
9.250	8.800
9.260	8.700
9.270	8.700
9.280	8.600
9.290	8.600
9.300	8.600
9.310	8.500
9.320	8.400
9.330	8.400
9.340	8.300
9.350	8.300
9.360	8.300
9.370	8.200
9.380	8.100
9.390	8.000
9.400	8.000
9.410	8.000
9.420	7.900
9.430	7.800
9.440	7.700
9.450	7.700
9.460	7.700
9.470	7.600
9.480	7.500
9.490	7.500
9.500	7.400
9.510	7.400
9.520	7.300
9.530	7.300
9.540	7.200
9.550	7.200
9.560	7.200
9.570	7.100
9.580	7.000
9.590	7.000
9.600	6.900
9.610	6.900
9.620	6.800
9.630	6.800
9.640	6.700
9.650	6.600
9.660	6.600
9.670	6.500
9.680	6.500
9.690	6.500
9.700	6.400
9.710	6.400
9.720	6.300
9.730	6.200
9.740	6.200
9.750	6.100
9.760	6.100
9.770	6.000
9.780	5.900
9.790	5.900
9.800	5.900
9.810	5.900
9.820	5.800
9.830	5.800
9.840	5.700
9.850	5.600
9.860	5.600
9.870	5.500
9.880	5.500
9.890	5.400
9.900	5.400
9.910	5.300
9.920	5.300
9.930	5.200
9.940	5.200
9.950	5.100
9.960	5.100
9.970	5.000
9.980	5.000
9.990	4.900
10.000	4.900
10.010	4.800
10.020	4.800
10.030	4.700
10.040	4.700
10.050	4.700
10.060	4.500
10.070	4.500
10.080	4.400
10.090	4.400
10.100	4.400
10.110	4.300
10.120	4.300
10.130	4.200
10.140	4.200
10.150	4.200
10.160	4.000
10.170	4.000
10.180	3.900
10.190	3.900
10.200	3.900
10.210	3.800
10.220	3.800
10.230	3.800
10.240	3.600
10.250	3.600
10.260	3.600
10.270	3.500
10.280	3.500
10.290	3.500
10.300	3.300
10.310	3.300
10.320	3.300
10.330	3.300
10.340	3.100
10.350	3.100
10.360	3.100
10.370	3.100
10.380	3.000
10.390	3.000
10.400	3.000
10.410	3.000
10.420	2.800
10.430	2.800
10.440	2.800
10.450	2.800
10.460	2.600
10.470	2.600
10.480	2.600
10.490	2.600
10.500	2.600
10.510	2.400
10.520	2.400
10.530	2.400
10.540	2.400
10.550	2.400
10.560	2.400
10.570	2.400
10.580	2.100
10.590	2.100
10.600	2.100
10.610	2.100
10.620	2.100
10.630	2.100
10.640	2.100
10.650	2.100
10.660	2.100
10.670	2.100
10.680	1.800
10.690	1.800
10.700	1.800
10.710	1.800
10.720	1.800
10.730	1.800
10.740	1.800
10.750	1.800
10.760	1.800
10.770	1.800
10.780	1.800
10.790	1.800
10.800	1.800
10.810	1.800
10.820	1.800
10.830	1.800
10.840	1.800
10.850	1.800
10.860	1.800
10.870	1.800
10.880	1.800
10.890	1.800
10.900	1.800
10.910	1.800
10.920	1.800
10.930	1.800
10.940	1.800
10.950	1.800
10.960	1.800
10.970	1.800
10.980	1.800
10.990	1.800
11.000	1.800
11.010	1.800
11.020	1.800
11.030	1.800
11.040	1.800
11.050	1.800
11.060	1.800
11.070	1.800
11.080	1.800
11.090	1.800
11.100	1.800
11.110	1.800
11.120	1.800
