%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
102461.125,301.499,1.184,0.448,0.119,0.064,-2.378,-0.780,0.963,2.091,0.541,-1.557,-1.495,-1.391,0.224,-0.521,1.902,-2.124,2.722,0.942,0.519,0.677,-5.929,0.028,-0.241,0.001,535.448,336.520
102444.999,301.499,1.184,0.258,0.040,-0.096,-3.134,-0.780,1.177,1.882,0.757,-1.557,-1.175,-1.605,-0.112,0.939,1.162,-1.593,2.932,1.151,0.727,0.113,-5.939,0.028,-0.231,0.001,535.448,336.520
102449.030,301.496,1.184,0.578,0.198,-0.256,-1.621,-1.337,0.963,2.091,0.216,-1.349,-1.815,-1.712,-0.670,-0.208,2.430,-2.761,3.141,0.942,0.727,0.338,-5.918,0.048,-0.241,0.000,535.448,336.520
102453.062,301.494,1.184,0.684,0.277,-0.256,-2.270,-0.780,0.642,2.196,0.973,-2.076,-0.641,-1.284,0.224,-0.313,1.796,-1.381,1.885,1.047,0.623,-0.450,-5.960,0.009,-0.241,0.001,535.448,336.520
102457.093,301.491,1.184,0.000,-0.040,-0.416,-2.702,-0.669,1.392,1.882,0.324,-1.453,-1.922,-1.605,-0.000,0.522,2.219,-1.805,3.350,0.209,0.831,0.113,-5.960,0.048,-0.231,0.001,535.448,336.520
102436.936,301.493,1.184,0.000,-0.119,-0.416,-2.810,-1.449,1.392,2.509,0.541,-1.349,-0.854,-1.926,0.336,0.626,2.113,-1.912,2.617,1.151,0.000,0.113,-5.981,0.009,-0.231,-0.000,535.448,336.520
102444.999,301.496,1.184,0.000,-0.040,-0.256,-2.054,-2.006,1.284,2.091,0.541,-1.557,-1.495,-1.391,-0.670,0.626,2.536,-2.230,2.513,1.360,1.350,-0.113,-5.981,0.048,-0.231,0.001,535.448,336.520
102453.062,301.496,1.184,0.448,0.119,-0.096,-2.378,-1.337,0.214,2.405,1.081,-1.453,-1.388,-2.033,0.112,-0.417,2.430,-1.593,2.513,0.628,0.415,0.000,-5.970,0.009,-0.241,0.001,535.448,336.520
102436.936,301.496,1.184,0.000,-0.040,0.064,-2.270,-1.003,0.749,1.882,0.433,-1.557,-2.242,-1.926,-0.000,-0.104,2.007,-2.336,2.827,0.523,0.104,0.000,-3.929,0.009,-0.150,-0.000,535.448,336.520
102457.093,301.494,1.184,0.258,0.040,-0.256,-3.351,-1.337,1.391,1.987,0.541,-1.557,-1.388,-2.461,-0.446,0.000,1.373,-2.124,2.408,0.209,0.312,-0.225,-3.919,0.009,-0.150,0.000,535.448,336.520
102449.030,301.501,1.184,0.448,0.119,-0.096,-2.054,-2.229,0.749,1.673,0.108,-1.453,-1.815,-1.177,-0.446,-0.313,2.007,-2.867,2.094,1.047,0.208,-0.113,-3.929,0.009,-0.170,0.000,535.448,336.520
102461.125,301.501,1.184,0.448,0.119,0.224,-2.378,-1.003,0.214,1.150,0.108,-1.764,-1.602,-1.391,0.447,-0.313,2.324,-1.912,2.199,0.733,0.623,0.000,-3.929,0.028,-0.160,-0.000,535.448,336.520
102457.093,301.502,1.184,0.448,0.119,0.224,-2.702,-0.892,2.141,1.359,0.757,-1.453,-1.388,-1.284,0.112,0.418,1.585,-2.230,2.513,0.314,0.935,0.338,-3.909,0.009,-0.150,0.000,535.448,336.520
102461.125,301.502,1.184,0.000,-0.119,0.064,-2.378,-0.892,1.177,1.882,0.216,-1.453,-1.175,-1.712,0.224,0.418,2.324,-2.124,2.199,1.570,0.519,-0.225,-3.898,0.028,-0.180,0.001,535.448,336.520
102453.062,301.507,1.184,0.684,0.277,0.064,-2.378,-1.337,1.284,2.405,0.865,-1.972,-0.747,-1.284,-0.000,0.313,2.324,-1.805,2.408,1.256,1.038,-0.113,-3.909,0.009,-0.160,0.001,535.448,336.520
102457.093,301.505,1.184,0.578,0.198,0.224,-1.837,-0.892,1.392,2.196,0.757,-1.349,-1.495,-1.391,-0.000,-0.417,2.324,-1.805,3.141,0.733,0.831,0.677,-3.919,-0.010,-0.180,0.001,535.448,336.520
102449.030,301.502,1.184,0.258,0.040,0.064,-2.810,-1.003,1.070,1.673,0.649,-1.349,-0.747,-1.605,-0.223,0.209,1.796,-1.593,2.827,0.837,0.831,0.338,-3.940,0.028,-0.160,0.000,535.448,336.520
102449.030,301.502,1.184,0.000,-0.198,-0.096,-1.405,-1.560,1.070,2.196,0.865,-1.349,-0.854,-1.605,-0.112,0.522,2.324,-2.549,2.617,1.047,0.727,-0.450,-3.929,0.028,-0.160,0.001,535.448,336.520
102444.999,301.501,1.184,0.000,-0.040,0.064,-2.270,-1.003,0.535,2.405,0.757,-2.698,-0.961,-1.712,0.112,-0.313,2.113,-1.805,2.199,1.047,0.519,-0.225,-3.929,-0.010,-0.160,-0.000,535.448,336.520
102449.030,301.499,1.184,0.000,-0.040,0.064,-2.270,-1.337,1.927,1.673,0.324,-1.245,-1.815,-1.498,0.447,0.313,2.536,-1.805,3.036,0.314,0.831,0.000,-3.950,0.009,-0.160,0.001,535.448,336.520
102453.062,301.504,1.184,0.448,0.119,-0.096,-2.270,-1.115,1.070,1.987,-0.000,-1.868,-0.854,-2.247,-0.000,0.313,2.113,-1.487,2.408,1.360,-0.104,-0.113,-3.950,0.009,-0.150,0.001,535.448,336.520
102449.030,301.504,1.184,0.000,-0.040,0.224,-1.837,-1.449,1.392,1.777,0.865,-1.868,-0.534,-1.284,-0.223,0.835,2.430,-1.912,2.408,0.733,1.350,-0.113,-3.929,0.009,-0.160,0.001,535.448,336.520
102461.125,301.501,1.184,0.000,-0.040,0.064,-1.837,-0.892,1.070,2.196,0.757,-1.141,-1.708,-1.177,0.783,-0.208,2.852,-1.699,2.513,1.256,1.038,0.451,-3.929,0.009,-0.170,0.001,535.448,336.520
102461.125,301.505,1.184,0.000,-0.040,0.224,-2.486,-1.337,1.499,1.673,0.865,-1.245,-0.747,-1.391,0.336,0.626,1.373,-1.912,2.617,1.256,0.831,0.338,-3.929,0.009,-0.150,0.000,535.448,336.520
102453.062,301.505,1.184,0.684,0.277,0.064,-1.945,-1.672,1.713,1.882,0.108,-1.660,-1.281,-1.284,-0.223,0.626,2.852,-2.867,2.513,1.360,0.623,0.677,-3.940,0.028,-0.160,0.000,535.448,336.520
102461.125,301.504,1.184,0.578,0.198,0.224,-1.729,-1.003,1.284,1.987,0.757,-1.349,-0.961,-1.605,-0.000,0.313,2.747,-1.699,1.885,1.151,1.142,-0.450,-3.909,0.028,-0.160,0.001,535.448,336.520
102457.093,301.504,1.184,0.000,-0.040,0.224,-1.945,-0.557,1.499,1.882,0.973,-1.245,-1.281,-1.070,0.559,0.731,2.958,-1.593,3.141,0.628,1.453,-0.113,-3.929,0.009,-0.160,0.001,535.448,336.520
102453.062,301.501,1.184,0.258,0.040,-0.416,-2.378,-1.003,1.927,2.405,0.433,-1.038,-1.068,-2.461,0.112,0.731,2.324,-1.593,3.036,1.779,0.623,0.000,-3.950,0.009,-0.170,0.002,535.448,336.520
102457.093,301.504,1.184,0.000,-0.040,0.384,-1.945,-1.226,1.392,1.255,0.757,-1.453,-0.961,-1.498,0.000,0.939,2.007,-1.699,3.141,0.523,1.246,0.113,-2.045,0.028,-0.059,0.000,535.448,336.520
102449.030,301.502,1.184,0.000,-0.119,0.064,-1.729,-1.337,1.392,2.405,0.324,-0.934,-0.747,-1.391,0.336,1.044,2.535,-2.018,2.827,1.256,0.623,0.902,-2.024,0.009,-0.079,0.001,535.448,336.520
